Crop,Variety,State,Duration in days,Cost,Quantity,Predicted_Production
Indian Mustard,Pitambari (RYSK-05-02), Manipur,113,21735.185,99,270.2054795
Groundnut,Girnar - 3 (PBS 12160),West Bengal,108,17314.2,130.02,249.1726027
Groundnut,Girnar - 3 (PBS 12160), Orissa,108,17314.2,130.02,249.1726027
Groundnut,Girnar - 3 (PBS 12160), Manipur,108,17314.2,130.02,249.1726027
Groundnut,Kadiri Harithandhra (K 1319),Karnataka,122,17314.2,130.02,249.1726027
Groundnut,Kadiri Harithandhra (K 1319), Maharashtra,122,17314.2,130.02,249.1726027
Groundnut,GPBD 5,Jharkhand,107,17314.2,130.02,249.1726027
Groundnut,GPBD 5, Manipur,107,17314.2,130.02,249.1726027
Bengal Gram,Ujjawal (IPCK2004-29),Madhya Pradesh,107,16873.17,131.48,305.0038356
Bengal Gram,Ujjawal (IPCK2004-29), Rajasthan,107,17776.25,131.48,305.0038356
Bengal Gram,Ujjawal (IPCK2004-29), Chhattisgarh,107,17776.25,131.48,305.0038356
Bengal Gram,Ujjawal (IPCK2004-29), Maharashtra,107,17776.25,131.48,305.0038356
Bengal Gram,Ujjawal (IPCK2004-29), Gujarat,107,17776.25,131.48,305.0038356
Bengal Gram,Ujjawal (IPCK2004-29), Uttar Pradesh,107,17776.25,131.48,305.0038356
Bengal Gram,PKV KABULI-4,Maharashtra,110,18679.33,131.48,305.0038356
Bengal Gram,PKV KABULI-4, Madhya Pradesh,110,17776.25,131.48,305.0038356
Bengal Gram,MNK-1,Karnataka,110,17776.25,131.48,305.0038356
Bengal Gram,MNK-1, Andhra Pradesh,110,17776.25,131.48,305.0038356
Bengal Gram,MNK-1, Orissa,110,17776.25,131.48,305.0038356
Bengal Gram,MNK-1, Tamil Nadu,110,17776.25,131.48,305.0038356
Sugarcane,Karan 6 (Co 0239),Punjab,360,89025.27,131.12,230.5323288
Sugarcane,Karan 6 (Co 0239), Haryana,360,89025.27,131.12,230.5323288
Sugarcane,Karan 6 (Co 0239), Rajasthan,360,89025.27,131.12,230.5323288
